406, 809, 1212, 1614, 2016, 2420, 2823, 3226, 3628, 4031, 4433, 4837, 5239, 5642, 6046, 6448, 6850, 7253, 
356, 708, 1061, 1413, 1764, 2118, 2471, 2823, 3175, 3528, 3879, 4233, 4585, 4937, 5291, 5642, 5994, 6347, 
312, 620, 929, 1237, 1544, 1854, 2163, 2471, 2779, 3087, 3395, 3704, 4012, 4320, 4630, 4937, 5245, 5554, 
273, 543, 813, 1083, 1351, 1623, 1893, 2163, 2432, 2702, 2971, 3241, 3511, 3780, 4052, 4320, 4590, 4860, 
239, 476, 712, 948, 1183, 1421, 1657, 1893, 2128, 2365, 2600, 2836, 3073, 3308, 3546, 3780, 4017, 4253, 
210, 417, 623, 830, 1036, 1244, 1450, 1657, 1862, 2070, 2275, 2482, 2689, 2895, 3103, 3308, 3515, 3722, 
184, 365, 546, 727, 907, 1089, 1269, 1450, 1630, 1812, 1991, 2172, 2353, 2534, 2716, 2895, 3076, 3257, 
161, 320, 478, 637, 794, 953, 1111, 1269, 1427, 1586, 1743, 1901, 2059, 2218, 2377, 2534, 2692, 2850, 
141, 280, 419, 558, 695, 834, 973, 1111, 1249, 1388, 1526, 1664, 1802, 1941, 2080, 2218, 2356, 2494, 
124, 245, 367, 489, 609, 730, 852, 973, 1093, 1215, 1336, 1456, 1577, 1699, 1820, 1941, 2062, 2183, 
109, 215, 322, 428, 533, 639, 746, 852, 957, 1064, 1169, 1274, 1380, 1487, 1593, 1699, 1805, 1911, 
96, 189, 282, 375, 467, 560, 653, 746, 838, 931, 1023, 1115, 1208, 1302, 1394, 1487, 1580, 1673, 
84, 166, 247, 329, 409, 490, 572, 653, 734, 815, 896, 976, 1057, 1140, 1220, 1302, 1383, 1464, 
74, 146, 217, 288, 358, 429, 501, 572, 643, 714, 784, 854, 925, 998, 1068, 1140, 1211, 1281, 
65, 128, 190, 252, 314, 376, 439, 501, 563, 625, 686, 748, 810, 874, 935, 998, 1060, 1121, 
57, 112, 167, 221, 275, 329, 385, 439, 493, 547, 601, 655, 709, 765, 819, 874, 928, 981, 
50, 98, 147, 194, 241, 288, 337, 385, 432, 479, 526, 574, 621, 670, 717, 765, 812, 859, 
44, 86, 129, 170, 211, 252, 295, 337, 378, 420, 461, 503, 544, 587, 628, 670, 711, 752, 
2039, 4076, 6113, 8149, 10185, 12221, 14259, 16295, 18331, 20368, 22404, 24441, 26476, 28514, 30550, 32587, 34623, 36658, 
1785, 3567, 5349, 7131, 8912, 10694, 12477, 14259, 16040, 17822, 19604, 21386, 23167, 24950, 26732, 28514, 30296, 32076, 
1562, 3122, 4681, 6240, 7798, 9358, 10918, 12477, 14035, 15595, 17154, 18713, 20272, 21832, 23391, 24950, 26509, 28067, 
1367, 2732, 4096, 5460, 6824, 8189, 9554, 10918, 12281, 13646, 15010, 16374, 17738, 19103, 20468, 21832, 23196, 24559, 
1197, 2391, 3584, 4778, 5971, 7166, 8360, 9554, 10746, 11941, 13134, 14328, 15521, 16716, 17910, 19103, 20297, 21490, 
1048, 2093, 3136, 4181, 5225, 6271, 7315, 8360, 9403, 10449, 11493, 12537, 13581, 14627, 15672, 16716, 17760, 18804, 
917, 1832, 2744, 3659, 4572, 5488, 6401, 7315, 8228, 9143, 10057, 10970, 11884, 12799, 13713, 14627, 15540, 16454, 
803, 1603, 2401, 3202, 4001, 4802, 5601, 6401, 7200, 8001, 8800, 9599, 10399, 11200, 11999, 12799, 13598, 14398, 
703, 1403, 2101, 2802, 3501, 4202, 4901, 5601, 6300, 7001, 7700, 8400, 9100, 9800, 10500, 11200, 11899, 12599, 
616, 1228, 1839, 2452, 3064, 3677, 4289, 4901, 5513, 6126, 6738, 7350, 7963, 8575, 9188, 9800, 10412, 11025, 
539, 1075, 1610, 2146, 2681, 3218, 3753, 4289, 4824, 5361, 5896, 6432, 6968, 7504, 8040, 8575, 9111, 9647, 
472, 941, 1409, 1878, 2346, 2816, 3284, 3753, 4221, 4691, 5159, 5628, 6097, 6566, 7035, 7504, 7973, 8442, 
413, 824, 1233, 1644, 2053, 2464, 2874, 3284, 3694, 4105, 4515, 4925, 5335, 5746, 6156, 6566, 6977, 7387, 
362, 721, 1079, 1439, 1797, 2156, 2515, 2874, 3233, 3592, 3951, 4310, 4669, 5028, 5387, 5746, 6105, 6464, 
317, 631, 945, 1260, 1573, 1887, 2201, 2515, 2829, 3143, 3458, 3772, 4086, 4400, 4714, 5028, 5342, 5656, 
278, 553, 827, 1103, 1377, 1652, 1926, 2201, 2476, 2751, 3026, 3301, 3576, 3850, 4125, 4400, 4675, 4949, 
244, 484, 724, 966, 1205, 1446, 1686, 1926, 2167, 2408, 2648, 2889, 3129, 3369, 3610, 3850, 4091, 4331, 
214, 424, 634, 846, 1055, 1266, 1476, 1686, 1897, 2107, 2317, 2528, 2738, 2948, 3159, 3369, 3580, 3790, 
188, 371, 555, 741, 924, 1108, 1292, 1476, 1660, 1844, 2028, 2212, 2396, 2580, 2765, 2948, 3133, 3317, 
165, 325, 486, 649, 809, 970, 1131, 1292, 1453, 1614, 1775, 1936, 2097, 2258, 2420, 2580, 2742, 2903, 
145, 285, 426, 568, 708, 849, 990, 1131, 1272, 1413, 1554, 1694, 1835, 1976, 2118, 2258, 2400, 2541, 
127, 250, 373, 497, 620, 743, 867, 990, 1113, 1237, 1360, 1483, 1606, 1729, 1854, 1976, 2100, 2224, 
112, 219, 327, 435, 543, 651, 759, 867, 974, 1083, 1190, 1298, 1406, 1513, 1623, 1729, 1838, 1946, 
98, 192, 287, 381, 476, 570, 665, 759, 853, 948, 1042, 1136, 1231, 1324, 1421, 1513, 1609, 1703, 
86, 168, 252, 334, 417, 499, 582, 665, 747, 830, 912, 994, 1078, 1159, 1244, 1324, 1408, 1491, 
76, 147, 221, 293, 365, 437, 510, 582, 654, 727, 798, 870, 944, 1015, 1089, 1159, 1232, 1305, 
67, 129, 194, 257, 320, 383, 447, 510, 573, 637, 699, 762, 826, 889, 953, 1015, 1078, 1142, 
59, 113, 170, 225, 280, 336, 392, 447, 502, 558, 612, 667, 723, 778, 834, 889, 944, 1000, 
52, 99, 149, 197, 245, 294, 343, 392, 440, 489, 536, 584, 633, 681, 730, 778, 826, 875, 
46, 87, 131, 173, 215, 258, 301, 343, 385, 428, 469, 511, 554, 596, 639, 681, 723, 766, 
2041, 4077, 6115, 8152, 10189, 12226, 14264, 16301, 18337, 20375, 22411, 24448, 26485, 28522, 30560, 32596, 34633, 36671, 
1786, 3568, 5351, 7133, 8916, 10698, 12481, 14264, 16045, 17829, 19610, 21392, 23175, 24957, 26740, 28522, 30304, 32088, 
1563, 3122, 4683, 6242, 7802, 9361, 10921, 12481, 14040, 15601, 17159, 18718, 20279, 21838, 23398, 24957, 26516, 28077, 
1368, 2732, 4098, 5462, 6827, 8191, 9556, 10921, 12285, 13651, 15015, 16379, 17745, 19109, 20474, 21838, 23202, 24568, 
1197, 2391, 3586, 4780, 5974, 7168, 8362, 9556, 10750, 11945, 13139, 14332, 15527, 16721, 17915, 19109, 20302, 21497, 
1048, 2093, 3138, 4183, 5228, 6272, 7317, 8362, 9407, 10452, 11497, 12541, 13587, 14631, 15676, 16721, 17765, 18810, 
917, 1832, 2746, 3661, 4575, 5488, 6403, 7317, 8232, 9146, 10060, 10974, 11889, 12803, 13717, 14631, 15545, 16459, 
803, 1603, 2403, 3204, 4004, 4802, 5603, 6403, 7203, 8003, 8803, 9603, 10403, 11203, 12003, 12803, 13602, 14402, 
703, 1403, 2103, 2804, 3504, 4202, 4903, 5603, 6303, 7003, 7703, 8403, 9103, 9803, 10503, 11203, 11902, 12602, 
616, 1228, 1841, 2454, 3066, 3677, 4291, 4903, 5516, 6128, 6741, 7353, 7966, 8578, 9191, 9803, 10415, 11027, 
539, 1075, 1611, 2148, 2683, 3218, 3755, 4291, 4827, 5362, 5899, 6434, 6971, 7506, 8043, 8578, 9114, 9649, 
472, 941, 1410, 1880, 2348, 2816, 3286, 3755, 4224, 4692, 5162, 5630, 6100, 6568, 7038, 7506, 7975, 8443, 
413, 824, 1234, 1645, 2055, 2464, 2876, 3286, 3696, 4106, 4517, 4927, 5338, 5747, 6159, 6568, 6979, 7388, 
362, 721, 1080, 1440, 1799, 2156, 2517, 2876, 3234, 3593, 3953, 4312, 4671, 5029, 5390, 5747, 6107, 6465, 
317, 631, 945, 1260, 1575, 1887, 2203, 2517, 2830, 3144, 3459, 3773, 4088, 4401, 4717, 5029, 5344, 5657, 
278, 553, 827, 1103, 1379, 1652, 1928, 2203, 2477, 2751, 3027, 3302, 3577, 3851, 4128, 4401, 4676, 4950, 
244, 484, 724, 966, 1207, 1446, 1687, 1928, 2168, 2408, 2649, 2890, 3130, 3370, 3612, 3851, 4092, 4332, 
214, 424, 634, 846, 1057, 1266, 1477, 1687, 1897, 2107, 2318, 2529, 2739, 2949, 3161, 3370, 3581, 3791, 
188, 371, 555, 741, 925, 1108, 1293, 1477, 1660, 1844, 2029, 2213, 2397, 2581, 2766, 2949, 3134, 3318, 
165, 325, 486, 649, 810, 970, 1132, 1293, 1453, 1614, 1776, 1937, 2098, 2259, 2421, 2581, 2743, 2904, 
145, 285, 426, 568, 709, 849, 991, 1132, 1272, 1413, 1554, 1695, 1836, 1977, 2119, 2259, 2401, 2541, 
127, 250, 373, 497, 621, 743, 868, 991, 1113, 1237, 1360, 1484, 1607, 1730, 1855, 1977, 2101, 2224, 
